Name,Price,Launching_Date,Reviews,Link,website_name
United Bravo 800cc Basegrade 2020,"PKR 900,000",2020,Reviews are not disclosed,https://buy.carfirst.com/united-bravo-2020-800cc-basegrade-pk-1180478,CarFirst
United Bravo 800cc Basegrade 2019,"PKR 750,000",2019,Reviews are not disclosed,https://buy.carfirst.com/united-bravo-2019-800cc-basegrade-pk-1180477,CarFirst
Toyota Vitz 1.0 F 2011,"PKR 1,880,000",2011,Reviews are not disclosed,https://buy.carfirst.com/toyota-vitz-2011-1-0-f-pk-1193771,CarFirst
Toyota Vitz 1.0 F 2001,"PKR 1,280,000",2001,Reviews are not disclosed,https://buy.carfirst.com/toyota-vitz-2001-1-0-f-pk-1189379,CarFirst
Toyota Rush 1.5 G 2006,"PKR 1,950,000",2006,Reviews are not disclosed,https://buy.carfirst.com/toyota-rush-2006-1-5-g-pk-1186286,CarFirst
Toyota Prius 1.8 S 2011,"PKR 2,900,000",2011,Reviews are not disclosed,https://buy.carfirst.com/toyota-prius-2011-1-8-s-pk-1193847,CarFirst
Toyota Platz __OTHER__ 2003,"PKR 1,250,000",2003,Reviews are not disclosed,https://buy.carfirst.com/toyota-platz-2003-other-pk-1194011,CarFirst
Toyota Platz 1.0 F 2002,"PKR 920,000",2002,Reviews are not disclosed,https://buy.carfirst.com/toyota-platz-2002-1-0-f-pk-1193915,CarFirst
Toyota Land Cruiser 4.0D VX Limited 1995,"PKR 2,590,000",1995,Reviews are not disclosed,https://buy.carfirst.com/toyota-land-cruiser-1995-4-0d-vx-limited-pk-1168025,CarFirst
Toyota Corolla 1.8 Altis 2005,"PKR 1,680,000",2005,Reviews are not disclosed,https://buy.carfirst.com/toyota-corolla-2005-1-8-altis-pk-1186978,CarFirst
United Bravo 800cc Basegrade 2020,"PKR 900,000",2020,Reviews are not disclosed,https://buy.carfirst.com/united-bravo-2020-800cc-basegrade-pk-1180478,CarFirst
United Bravo 800cc Basegrade 2019,"PKR 750,000",2019,Reviews are not disclosed,https://buy.carfirst.com/united-bravo-2019-800cc-basegrade-pk-1180477,CarFirst
Toyota Platz 1.0 F 2002,"PKR 920,000",2002,Reviews are not disclosed,https://buy.carfirst.com/toyota-platz-2002-1-0-f-pk-1193915,CarFirst
Suzuki Mehran 800cc VXR Euro II 2018,"PKR 920,000",2018,Reviews are not disclosed,https://buy.carfirst.com/suzuki-mehran-2018-800cc-vxr-euro-ii-pk-1193805,CarFirst
Suzuki Mehran 800cc VXR Euro II 2017,"PKR 1,000,000",2017,Reviews are not disclosed,https://buy.carfirst.com/suzuki-mehran-2017-800cc-vxr-euro-ii-pk-1193912,CarFirst
Suzuki Cultus 1.0 VXRi 2010,"PKR 850,000",2010,Reviews are not disclosed,https://buy.carfirst.com/suzuki-cultus-2010-1-0-vxri-pk-1191524,CarFirst
Suzuki Cultus 1.0 VXR 2007,"PKR 750,000",2007,Reviews are not disclosed,https://buy.carfirst.com/suzuki-cultus-2007-1-0-vxr-pk-1192248,CarFirst
Hyundai Santro 1.0 Club 2003,"PKR 600,000",2003,Reviews are not disclosed,https://buy.carfirst.com/hyundai-santro-2003-1-0-club-pk-1193749,CarFirst
Daihatsu Mira 660cc L 2-Door 2008,"PKR 870,000",2008,Reviews are not disclosed,https://buy.carfirst.com/daihatsu-mira-2008-660cc-l-2-door-pk-1194679,CarFirst
Daihatsu Cuore 850cc CX Eco 2008,"PKR 760,000",2008,Reviews are not disclosed,https://buy.carfirst.com/daihatsu-cuore-2008-850cc-cx-eco-pk-1190291,CarFirst
Toyota Vitz 1.0 F 2001,"PKR 1,280,000",2001,Reviews are not disclosed,https://buy.carfirst.com/toyota-vitz-2001-1-0-f-pk-1189379,CarFirst
Toyota Platz __OTHER__ 2003,"PKR 1,250,000",2003,Reviews are not disclosed,https://buy.carfirst.com/toyota-platz-2003-other-pk-1194011,CarFirst
Suzuki Swift 1.3 DX 2015,"PKR 1,250,000",2015,Reviews are not disclosed,https://buy.carfirst.com/suzuki-swift-2015-1-3-dx-pk-1132291,CarFirst
Suzuki Mehran 800cc VXR Euro II 2017,"PKR 1,000,000",2017,Reviews are not disclosed,https://buy.carfirst.com/suzuki-mehran-2017-800cc-vxr-euro-ii-pk-1193912,CarFirst
Suzuki Cultus 1.0 VXR Euro II 2016,"PKR 1,250,000",2016,Reviews are not disclosed,https://buy.carfirst.com/suzuki-cultus-2016-1-0-vxr-euro-ii-pk-1194103,CarFirst
Suzuki Cultus 1.0 VXR Euro II 2015,"PKR 1,130,000",2015,Reviews are not disclosed,https://buy.carfirst.com/suzuki-cultus-2015-1-0-vxr-euro-ii-pk-1192986,CarFirst
Suzuki Cultus 1.0 VXR Euro II 2013,"PKR 1,100,000",2013,Reviews are not disclosed,https://buy.carfirst.com/suzuki-cultus-2013-1-0-vxr-euro-ii-pk-1193910,CarFirst
Prince DFSK Pearl 800cc 2021,"PKR 1,280,000",2021,Reviews are not disclosed,https://buy.carfirst.com/prince-dfsk-pearl-2021-800cc-pk-1193880,CarFirst
Mitsubishi Mirage 1.0.0 2012,"PKR 1,250,000",2012,Reviews are not disclosed,https://buy.carfirst.com/mitsubishi-mirage-2012-1-0-0-pk-1192856,CarFirst
Honda City 1.3 i-DSI Vario 2005,"PKR 1,025,000",2005,Reviews are not disclosed,https://buy.carfirst.com/honda-city-2005-1-3-i-dsi-vario-pk-1191074,CarFirst
Toyota Vitz 1.0 F 2011,"PKR 1,880,000",2011,Reviews are not disclosed,https://buy.carfirst.com/toyota-vitz-2011-1-0-f-pk-1193771,CarFirst
Toyota Rush 1.5 G 2006,"PKR 1,950,000",2006,Reviews are not disclosed,https://buy.carfirst.com/toyota-rush-2006-1-5-g-pk-1186286,CarFirst
Toyota Corolla 1.8 Altis 2005,"PKR 1,680,000",2005,Reviews are not disclosed,https://buy.carfirst.com/toyota-corolla-2005-1-8-altis-pk-1186978,CarFirst
Suzuki Alto 660cc VXR 2020,"PKR 1,970,000",2020,Reviews are not disclosed,https://buy.carfirst.com/suzuki-alto-2020-660cc-vxr-pk-1194548,CarFirst
Subaru Pleo 660cc L 2016,"PKR 1,600,000",2016,Reviews are not disclosed,https://buy.carfirst.com/subaru-pleo-2016-660cc-l-pk-1186609,CarFirst
Honda Civic 1.8 i-VTEC Prosmatec 2009,"PKR 1,600,000",2009,Reviews are not disclosed,https://buy.carfirst.com/honda-civic-2009-1-8-i-vtec-prosmatec-pk-1188903,CarFirst
Honda Civic 1.8 i-VTEC Oriel Prosmatec -Reborn 2012,"PKR 1,700,000",2012,Reviews are not disclosed,https://buy.carfirst.com/honda-civic-2012-1-8-i-vtec-oriel-prosmatec-reborn-pk-1190884,CarFirst
Toyota Prius 1.8 S 2011,"PKR 2,900,000",2011,Reviews are not disclosed,https://buy.carfirst.com/toyota-prius-2011-1-8-s-pk-1193847,CarFirst
Toyota Land Cruiser 4.0D VX Limited 1995,"PKR 2,590,000",1995,Reviews are not disclosed,https://buy.carfirst.com/toyota-land-cruiser-1995-4-0d-vx-limited-pk-1168025,CarFirst
Toyota Corolla 1.6 GLI Super ECT 2011,"PKR 2,050,000",2011,Reviews are not disclosed,https://buy.carfirst.com/toyota-corolla-2011-1-6-gli-super-ect-pk-1188178,CarFirst
Toyota Corolla 1.6 Altis Super ECT - New Shape 2014,"PKR 2,590,000",2014,Reviews are not disclosed,https://buy.carfirst.com/toyota-corolla-2014-1-6-altis-super-ect-new-shape-pk-1188011,CarFirst
Toyota Axio 1.5 X 2007,"PKR 2,100,000",2007,Reviews are not disclosed,https://buy.carfirst.com/toyota-axio-2007-1-5-x-pk-1194144,CarFirst
Toyota Aqua 1.5 S Push Start 2014,"PKR 2,780,000",2014,Reviews are not disclosed,https://buy.carfirst.com/toyota-aqua-2014-1-5-s-push-start-pk-1191340,CarFirst
Toyota Aqua 1.5 S Push Start 2012,"PKR 2,800,000",2012,Reviews are not disclosed,https://buy.carfirst.com/toyota-aqua-2012-1-5-s-push-start-pk-1193843,CarFirst
Suzuki Cultus 1.0 VXR 2019,"PKR 2,150,000",2019,Reviews are not disclosed,https://buy.carfirst.com/suzuki-cultus-2019-1-0-vxr-pk-1193852,CarFirst
KIA Picanto 1 2020,"PKR 2,450,000",2020,Reviews are not disclosed,https://buy.carfirst.com/kia-picanto-2020-1-pk-1180008,CarFirst
KIA Picanto 1 2020,"PKR 2,450,000",2020,Reviews are not disclosed,https://buy.carfirst.com/kia-picanto-2020-1-pk-1180080,CarFirst
United Bravo 800cc Basegrade 2020,"PKR 900,000",2020,Reviews are not disclosed,https://buy.carfirst.com/united-bravo-2020-800cc-basegrade-pk-1180478,CarFirst
United Bravo 800cc Basegrade 2019,"PKR 750,000",2019,Reviews are not disclosed,https://buy.carfirst.com/united-bravo-2019-800cc-basegrade-pk-1180477,CarFirst
Toyota Vitz 1.0 F 2011,"PKR 1,880,000",2011,Reviews are not disclosed,https://buy.carfirst.com/toyota-vitz-2011-1-0-f-pk-1193771,CarFirst
Toyota Vitz 1.0 F 2001,"PKR 1,280,000",2001,Reviews are not disclosed,https://buy.carfirst.com/toyota-vitz-2001-1-0-f-pk-1189379,CarFirst
Toyota Rush 1.5 G 2006,"PKR 1,950,000",2006,Reviews are not disclosed,https://buy.carfirst.com/toyota-rush-2006-1-5-g-pk-1186286,CarFirst
Toyota Prius 1.8 S 2011,"PKR 2,900,000",2011,Reviews are not disclosed,https://buy.carfirst.com/toyota-prius-2011-1-8-s-pk-1193847,CarFirst
Toyota Platz __OTHER__ 2003,"PKR 1,250,000",2003,Reviews are not disclosed,https://buy.carfirst.com/toyota-platz-2003-other-pk-1194011,CarFirst
